"Forecasting Zone","Year","Building Type","Mid Case (M.Sq.Ft.)","Low Case (M.Sq.Ft.) ","High Case (M.Sq.Ft.)"
1,1984,"Miscellaneous",157.951254268878,157.951254268878,157.951254268878
1,1985,"Miscellaneous",161.330520281935,161.330520281935,161.330520281935
1,1986,"Miscellaneous",167.481359645567,167.481359645567,167.481359645567
1,1987,"Miscellaneous",173.903155676214,173.903155676214,173.903155676214
1,1988,"Miscellaneous",178.164474844117,178.164474844117,178.164474844117
1,1989,"Miscellaneous",181.715983649601,181.715983649601,181.715983649601
1,1990,"Miscellaneous",184.43189373592,184.43189373592,184.43189373592
1,1991,"Miscellaneous",186.88650366047,186.88650366047,186.88650366047
1,1992,"Miscellaneous",188.587835925257,188.587835925257,188.587835925257
1,1993,"Miscellaneous",190.720093088966,190.720093088966,190.720093088966
1,1994,"Miscellaneous",192.11726307105,192.11726307105,192.11726307105
1,1995,"Miscellaneous",193.709439507561,193.709439507561,193.709439507561
1,1996,"Miscellaneous",195.244060688694,195.244060688694,195.244060688694
1,1997,"Miscellaneous",196.829402384642,196.829402384642,196.829402384642
1,1998,"Miscellaneous",198.569460643964,198.569460643964,198.569460643964
1,1999,"Miscellaneous",204.481344715202,204.481344715202,204.481344715202
1,2000,"Miscellaneous",208.853350175116,208.853350175116,208.853350175116
1,2001,"Miscellaneous",211.142374132522,211.142374132522,211.142374132522
1,2002,"Miscellaneous",214.463764744391,214.463764744391,214.463764744391
1,2003,"Miscellaneous",218.394559692287,218.394559692287,218.394559692287
1,2004,"Miscellaneous",220.535327688194,220.535327688194,220.535327688194
1,2005,"Miscellaneous",222.02301415284,222.02301415284,222.02301415284
